timestamp(ns),image_idx
1709593548802129448,465
1709593548835283357,466
1709593548868663218,467
1709593548902133050,468
1709593548935170663,469
1709593548968568991,470
1709593549002421753,471
1709593549035678123,472
1709593549068734251,473
1709593549102034319,474
1709593549135411087,475
1709593549169176206,476
1709593549202403739,477
1709593549235654895,478
1709593549269004345,479
1709593549302454345,480
1709593549335655169,481
1709593549368681975,482
1709593549402313653,483
1709593549435370197,484
1709593549468737065,485
1709593549502170988,486
1709593549535339590,487
1709593549568738955,488
1709593549602054169,489
1709593549635402017,490
1709593549668744819,491
1709593549702222932,492
1709593549735552316,493
1709593549768931705,494
1709593549802280971,495
1709593549835289745,496
1709593549869185137,497
1709593549902258408,498
1709593549935661975,499
1709593549968924965,500
1709593550002242279,501
1709593550035554382,502
1709593550068898775,503
1709593550102447407,504
1709593550135607938,505
1709593550169372316,506
1709593550202198324,507
1709593550235285888,508
1709593550268826401,509
1709593550302284791,510
1709593550335463752,511
1709593550368889233,512
1709593550402178139,513
1709593550435725018,514
1709593550469204754,515
1709593550502112011,516
1709593550535461888,517
1709593550569020064,518
1709593550602397224,519
1709593550635827729,520
1709593550669030782,521
1709593550702316230,522
1709593550735445333,523
1709593550769118788,524
1709593550802294977,525
1709593550835563669,526
1709593550868847682,527
1709593550902193793,528
1709593550935357087,529
1709593550968731960,530
1709593551002388662,531
1709593551035635428,532
1709593551068568851,533
1709593551102671379,534
1709593551135566380,535
1709593551168733279,536
1709593551201819653,537
1709593551235313889,538
1709593551269090372,539
1709593551302394506,540
1709593551335586817,541
1709593551368790402,542
1709593551402327248,543
1709593551435146540,544
1709593551468687179,545
1709593551502179660,546
1709593551535685055,547
1709593551568984056,548
1709593551602140509,549
1709593551635432177,550
1709593551668757916,551
1709593551702319916,552
1709593551735430394,553
1709593551768636503,554
1709593551802205542,555
1709593551835458370,556
1709593551868758845,557
1709593551902050956,558
1709593551935648690,559
1709593551968972799,560
1709593552002454713,561
1709593552035546371,562
1709593552068819482,563
1709593552102321103,564
1709593552135367814,565
1709593552168887999,566
1709593552202154608,567
1709593552235573928,568
1709593552268879930,569
1709593552301884181,570
1709593552335353630,571
1709593552368652680,572
1709593552402233187,573
1709593552435479712,574
1709593552468991650,575
1709593552502006046,576
1709593552535414046,577
1709593552568996409,578
1709593552602227874,579
1709593552635342150,580
1709593552669194703,581
1709593552702309330,582
1709593552735511082,583
1709593552768946785,584
1709593552802339388,585
1709593552835489105,586
1709593552868971254,587
1709593552902260106,588
1709593552935435776,589
1709593552968970562,590
1709593553002285368,591
1709593553035604725,592
1709593553068813071,593
1709593553102010984,594
1709593553135440267,595
1709593553168906687,596
1709593553202458578,597
1709593553235306621,598
1709593553268963780,599
1709593553302341008,600
1709593553335596462,601
1709593553369071610,602
1709593553402222825,603
1709593553435585621,604
1709593553469325316,605
1709593553502417424,606
1709593553535769526,607
1709593553568834595,608
1709593553602260167,609
1709593553635746482,610
1709593553668910509,611
1709593553702441180,612
1709593553735649059,613
1709593553768756809,614
1709593553802117771,615
1709593553835284601,616
1709593553868876503,617
1709593553902115631,618
1709593553935508725,619
1709593553969013690,620
1709593554002298862,621
1709593554035698434,622
1709593554069025685,623
1709593554102272149,624
1709593554135785315,625
1709593554168983153,626
1709593554202620402,627
1709593554235508831,628
1709593554268999260,629
1709593554302242467,630
1709593554335343022,631
1709593554368872028,632
1709593554402465213,633
1709593554435622920,634
1709593554468848166,635
1709593554502342929,636
1709593554535651960,637
1709593554568819994,638
1709593554602709203,639
1709593554635532603,640
1709593554669144473,641
1709593554702495118,642
1709593554735493327,643
1709593554769026911,644
1709593554802392070,645
1709593554835832959,646
1709593554869211208,647
1709593554902310931,648
1709593554935502143,649
1709593554968880479,650
1709593555002451383,651
1709593555035495967,652
1709593555069085053,653
1709593555102245723,654
1709593555135356312,655
1709593555168805910,656
1709593555202166108,657
1709593555235416237,658
1709593555269070612,659
1709593555302282028,660
1709593555335925653,661
1709593555368687438,662
1709593555402096128,663
1709593555435374538,664
1709593555468936043,665
1709593555502256253,666
1709593555535478959,667
1709593555569348097,668
1709593555602545910,669
1709593555635596277,670
1709593555669036961,671
1709593555702166636,672
1709593555735387120,673
1709593555768726642,674
1709593555802089795,675
1709593555835368891,676
1709593555869103800,677
1709593555902342460,678
1709593555935714332,679
1709593555968825808,680
1709593556002547816,681
1709593556035506235,682
1709593556068980914,683
1709593556102440077,684
1709593556135665073,685
1709593556168920128,686
1709593556202344764,687
1709593556235882555,688
1709593556268880126,689
1709593556302312951,690
1709593556335382147,691
1709593556368765752,692
1709593556402335383,693
1709593556435472816,694
1709593556468953400,695
1709593556502131739,696
1709593556535592227,697
1709593556569076325,698
1709593556602277405,699
1709593556635356279,700
1709593556668876142,701
1709593556702399229,702
1709593556735388522,703
1709593556768837843,704
1709593556802253131,705
1709593556835506199,706
1709593556869045575,707
1709593556902537027,708
1709593556935486242,709
1709593556969018922,710
